,主城区环境空气细颗粒物（微克/立方米）,每万人生活垃圾清运量（吨）,建成区绿化覆盖率(%),每万人公园绿地面积(公顷）,每万人拥有公厕（座）
2017,84,4259.649931,48.4,14.27913404,2.429755873
2016,92,4015.692591,48.4,13.85181776,2.484123332
2015,102,3640.396131,48.4,13.5882082,2.487793643
2014,116,3410.037175,49.1,10.78066914,2.522769517
2013,108,3175.839243,47.1,10.96926714,2.630260047
2012,109,3133.446109,46.2,10.24649589,2.790236829
2011,114,3141.901932,45.6,9.757305597,2.894006934
2010,103.5714286,3226.197757,46.65,9.683995923,3.04077472
2009,103.5714286,3527.526882,47.7,9.731182796,3.237634409
