,灰霾日,每万人生活垃圾清运量,建成区绿化覆盖率,每万人公园绿地面积,每万人拥有公厕
2017,22.00 ,0.482108506,45,16.0,2.668358836
2016,27.00 ,0.480292878,45,16.5,2.807026383
2015,35.00 ,0.505321252,45,16.9,2.293719077
2014,68.00 ,0.501906503,45,16.8,2.402842591
2013,98.00 ,0.49111385,45,16.7,2.436752627
2012,77.00 ,0.464569467,45,16.6,2.45558147
2011,112.00 ,0.460477291,45,16.5,2.466
2010,115.00 ,0.461820285,45,16.4,2.478
2009,115.00 ,0.478387152,45,16.3,2.496
