,主城区环境空气细颗粒物（微克/立方米）,每万人生活垃圾清运量（吨）,建成区绿化覆盖率(%),每万人公园绿地面积(公顷）,每万人拥有公厕（座）
2017,45,1722.731707,40.3,20.03252033,1.338211382
2016,54,1621.161417,40.8,19.61942257,1.158136483
2015,57,1458.501823,40.3,18.52833941,1.063307922
2014,65,1335.23905,40.6,17.55265797,0.950518221
2013,72,1177.777778,41.7,16.1952862,0.704713805
2012,85,1138.505942,42.9,16.02716469,0.676400679
2011,93,964.5769099,40.2,15.03939705,0.628639945
2010,67.28571429,889.7053726,40.6,13.06759099,0.56915078
2009,67.28571429,784.540049,38.5,11.36761105,0.768100735
