,主城区环境空气细颗粒物（微克/立方米）,每万人生活垃圾清运量（吨）,建成区绿化覆盖率(%),每万人公园绿地面积(公顷）,每万人拥有公厕（座）
2017,55,3073.076923,39.1,56.36889992,2.572787428
2016,59,2600.702479,38.6,53.2231405,2.570247934
2015,69,2539.130435,38.5,52.71221532,2.566045549
2014,71,2507.873042,38.4,51.81368508,2.542456719
2013,82,3043.478261,38.4,51.4699793,2.576811594
2012,71,3008.403361,38.3,52.18487395,2.663865546
2011,80,2999.573924,38.2,52.10907542,2.457605454
2010,89,3178.462875,38.2,52.14937039,2.61658706
2009,100,3212.669683,38.1,52.8959276,2.548868778
