,主城区环境空气细颗粒物（微克/立方米）,每万人生活垃圾清运量（吨）,建成区绿化覆盖率(%),每万人公园绿地面积(公顷）,每万人拥有公厕（座）
2017,52,1970.905588,36.8,28.45215157,0.947334618
2016,62,1722.34315,37.2,21.38284251,0.869398207
2015,67,1555.785391,36.4,18.35811248,0.85778927
2014,70,1423.137772,34.9,16.67765326,0.794990112
2013,83,1358.355978,34.9,15.76086957,0.810461957
2012,92,1314.720453,34.9,15.78202406,0.843595188
2011,104,1401.476015,34.5,16.01476015,0.908487085
2010,110,1414.241724,32.1,14.78060046,0.952270978
2009,121,1533.794788,30.3,14.16938111,1.149022801
